Name,Type,Calories (J),Protein (g),Carbonhydrates (g),Sugars (g),Fat (g),Fiber (g),Vitamins (%),Electrolytes (mg),Minerals (mg)
pasta,meal,759,6.7,35.5,0.6,1.1,2.1,No,"Sodium:1,Potassium:51.8",Calcium:8.1
patty,meal,197,21,0,0,12,0,A:0.2,"Sodium:67,Potassium:297","Calcium:6.5,Iron:76"
lemonade,beverage,99,0.17,25.87,24.37,0.1,0,C:16,"Sodium:5,Potassium:37","Calcium: 5,Iron:0.9"
vitaminc,supplement,0,0,0,0,0,0,C:100,No,No
banana,meal,48,0.6,12.4,6.7,0.2,1.4,No,"Sodium:1,Potassium:194.8",Calcium:2.7
orange,meal,69,1.3,18,12,0.2,3.1,"A:6.9,C:138","Sodium:1.4,Potassium:232","Calcium:23,Iron:0.4"
brown rice,meal,218,4.5,45.8,0,1.6,3.5,No,"Sodium:2,Potassium:154.1",Calcium:19.5
black eyed peas,meal,198,13,35,5.6,0.9,11,"A:0.5,C:1.1","Sodium:6.8,Potassium:475","Calcium:16,Iron:10.8"
granny smith apple,meal,63,0.5,14.8,10.5,0.2,3.1,No,"Sodium:1,Potassium:130.8",Calcium:5.5
milk,beverage,149,7.7,12,12,7.9,0,A:7.9,"Sodium:105,Potassium:322","Calcium:105,Iron:0.18"
carrot orange apple juice,beverage,85.9,0.9,21.9,0,0.4,4.1,"A:4.7,C:77.6","Sodium:0.2,Potassium:238.3","Calcium:18.5,Iron:0.585"
